"experience_id","position_id","name","description","hyperlink","start_date","end_date"
"1","2","Software and Technical Development Internship","Created various sample applications for client demonstration, assisted with patent-pending hardware, and worked with facial recognition software.",,"2023-05-01","2023-08-01"
"2","3","Landscape Laborer","Assisted with landscaping and various other tasks around the campground.",,"2022-06-01","2022-08-01"
